 format: day,hour,forecast,value  location:61_128 Start : 20240620 
 20,0200,+6,36.000000 
 20,0200,+7,33.000000 
 20,0200,+8,26.000000 
 20,0500,+6,33.000000 
 20,0500,+7,26.000000 
 20,0800,+6,33.000000 
 20,0800,+7,29.000000 
 20,0800,+8,31.000000 
 20,1100,+6,33.000000 
 20,1100,+7,29.000000 
 20,1100,+8,31.000000 
 20,1400,+6,33.000000 
 20,1400,+7,29.000000 
 20,1400,+8,31.000000 
 20,1700,+6,33.000000 
 20,1700,+7,29.000000 
 20,1700,+8,31.000000 
 20,2000,+6,34.000000 
 20,2000,+7,30.000000 
 20,2000,+8,32.000000 
 20,2300,+6,34.000000 
 20,2300,+7,30.000000 
 20,2300,+8,32.000000 
 Start : 20240621 
 21,0200,+6,34.000000 
 21,0200,+7,30.000000 
 21,0200,+8,32.000000 
 21,0500,+6,30.000000 
 21,0500,+7,32.000000 
 21,0800,+6,30.000000 
 21,0800,+7,32.000000 
 21,0800,+8,29.000000 
 21,1100,+6,30.000000 
 21,1100,+7,32.000000 
 21,1100,+8,29.000000 
 21,1400,+6,30.000000 
 21,1400,+7,32.000000 
 21,1400,+8,29.000000 
 21,1700,+6,30.000000 
 21,1700,+7,32.000000 
 21,1700,+8,29.000000 
 21,2000,+6,28.000000 
 21,2000,+7,33.000000 
 21,2000,+8,27.000000 
 21,2300,+6,28.000000 
 21,2300,+7,33.000000 
 21,2300,+8,27.000000 
 Start : 20240622 
 22,0200,+6,27.000000 
 22,0200,+7,33.000000 
 22,0200,+8,27.000000 
 22,0500,+6,33.000000 
 22,0500,+7,27.000000 
 22,0800,+6,31.000000 
 22,0800,+7,27.000000 
 22,0800,+8,29.000000 
 22,1100,+6,31.000000 
 22,1100,+7,27.000000 
 22,1100,+8,29.000000 
 22,1400,+6,31.000000 
 22,1400,+7,27.000000 
 22,1400,+8,29.000000 
 22,1700,+6,31.000000 
 22,1700,+7,27.000000 
 22,1700,+8,29.000000 
 22,2000,+6,32.000000 
 22,2000,+7,28.000000 
 22,2000,+8,29.000000 
 22,2300,+6,32.000000 
 22,2300,+7,28.000000 
 22,2300,+8,29.000000 
 Start : 20240623 
 23,0200,+6,32.000000 
 23,0200,+7,28.000000 
 23,0200,+8,29.000000 
 23,0500,+6,28.000000 
 23,0500,+7,29.000000 
 23,0800,+6,29.000000 
 23,0800,+7,29.000000 
 23,0800,+8,31.000000 
 23,1100,+6,29.000000 
 23,1100,+7,29.000000 
 23,1100,+8,31.000000 
 23,1400,+6,29.000000 
 23,1400,+7,29.000000 
 23,1400,+8,31.000000 
 23,1700,+6,29.000000 
 23,1700,+7,29.000000 
 23,1700,+8,31.000000 
 23,2000,+6,29.000000 
 23,2000,+7,28.000000 
 23,2000,+8,30.000000 
 23,2300,+6,29.000000 
 23,2300,+7,28.000000 
 23,2300,+8,30.000000 
 Start : 20240624
